ordinal	category	entity	title	url	status	http_code	content_type	bytes	html_path	text_path	error
8	01-linux-kernel-storage-ecosystem	Linux Foundation 会议页	会议门户	https://events.linuxfoundation.org/lsfmmbpf/	success	200	text/html; charset=UTF-8	130234	reference/web/batch-09/raw/1cbd95359ad2ab91.html	reference/web/batch-09/text/1cbd95359ad2ab91.md	
18	01-linux-kernel-storage-ecosystem	NVMe docs/tree	官方文档+源码	https://github.com/torvalds/linux/tree/master/drivers/nvme	success	200	text/html; charset=utf-8	240386	reference/web/batch-09/raw/4ee1046f73fd41e5.html	reference/web/batch-09/text/4ee1046f73fd41e5.md	
28	01-linux-kernel-storage-ecosystem	block/ docs	官方文档+源码	https://github.com/torvalds/linux/tree/master/block	success	200	text/html; charset=utf-8	415796	reference/web/batch-09/raw/b82a4eb26a2eef1a.html	reference/web/batch-09/text/b82a4eb26a2eef1a.md	
38	01-linux-kernel-storage-ecosystem	fsdevel 邮件列表	子系统列表	https://lore.kernel.org/linux-fsdevel/	success	200	text/html; charset=UTF-8	25640	reference/web/batch-09/raw/0a1cb40a45ef9fce.html	reference/web/batch-09/text/0a1cb40a45ef9fce.md	
48	01-linux-kernel-storage-ecosystem	linux-xfs 邮件列表	子系统列表	https://lore.kernel.org/linux-xfs/	success	200	text/html; charset=UTF-8	17196	reference/web/batch-09/raw/84230ed41b85aeac.html	reference/web/batch-09/text/84230ed41b85aeac.md	
58	02-intel-hardware-storage-ecosystem	Arm Developer Program	开发者门户	https://developer.arm.com/	success	200	text/html	247318	reference/web/batch-09/raw/b89841712d76c986.html	reference/web/batch-09/text/b89841712d76c986.md	
68	02-intel-hardware-storage-ecosystem	Micron Blog	官方博客	https://www.micron.com/about/blog	success	200	text/html;charset=utf-8	269163	reference/web/batch-09/raw/bdf2ab6a9100dcf7.html	reference/web/batch-09/text/bdf2ab6a9100dcf7.md	
78	02-intel-hardware-storage-ecosystem	Tech Blog/Newsroom	技术博客与新闻	https://semiconductor.samsung.com/news-events/tech-blog/	success	200	text/html; charset=UTF-8	404029	reference/web/batch-09/raw/2a2173234bc71ff0.html	reference/web/batch-09/text/2a2173234bc71ff0.md	
88	03-enterprise-storage-vendors	Cloudian HyperStore	产品+文档	https://docs.cloudian.com/	failed	000	0				curl-exit-35    0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0   0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:01 --:--:--     0 curl: (35) LibreSSL SSL_connect: SSL_ERROR_SYSCALL in connection to docs.cloudian.com:443  
98	03-enterprise-storage-vendors	DDN入口	产品+文档	https://www.ddn.com/	success	200	text/html; charset=UTF-8	1114179	reference/web/batch-09/raw/88eed097d776a532.html	reference/web/batch-09/text/88eed097d776a532.md	
108	03-enterprise-storage-vendors	Hitachi社区博客	社区+博客	https://www.hitachivantara.com/en-us/blog.html	success	200	text/html;charset=utf-8	210918	reference/web/batch-09/raw/35972a4cbb64c052.html	reference/web/batch-09/text/35972a4cbb64c052.md	
118	03-enterprise-storage-vendors	MinIO	文档+开源仓库	https://min.io/docs/minio/linux/index.html	success	200	text/html	285748	reference/web/batch-09/raw/f14a9a68111ae2fa.html	reference/web/batch-09/text/f14a9a68111ae2fa.md	
128	03-enterprise-storage-vendors	Nutanix 产品	产品入口+开发者门户	https://www.nutanix.com/products/files	success	200	text/html;charset=utf-8	249051	reference/web/batch-09/raw/ba6d3ac9a153375a.html	reference/web/batch-09/text/ba6d3ac9a153375a.md	
138	03-enterprise-storage-vendors	Pure Storage	产品+支持入口	https://www.purestorage.com/solutions.html	failed	000	0				curl-exit-28    0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:01 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:02 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:03 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:04 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:05 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:06 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:07 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:08 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:09 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:10 --:--:--     0 curl: (28) Failed to connect to www.purestorage.com port 443 after 10006 ms: Timeout was reached 
148	03-enterprise-storage-vendors	Red Hat 技术入口	官方文档+上游项目	https://github.com/ceph/ceph	success	200	text/html; charset=utf-8	508288	reference/web/batch-09/raw/1d5d1605af265c21.html	reference/web/batch-09/text/1d5d1605af265c21.md	
158	03-enterprise-storage-vendors	VAST平台	产品+文档	https://docs.vastdata.com/	failed	000	0				curl-exit-6 Warning: Problem : timeout. Will retry in 2 seconds. 1 retries left.    0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0curl: (6) Could not resolve host: docs.vastdata.com 
168	03-enterprise-storage-vendors	Veeam 社区	社区+博客	https://www.veeam.com/blog/	success	200	text/html; charset=UTF-8	377557	reference/web/batch-09/raw/10a8422e892d2315.html	reference/web/batch-09/text/10a8422e892d2315.md	
178	03-enterprise-storage-vendors	Weka Blog	技术博客/资源	https://www.weka.io/resources/	success	200	text/html; charset=UTF-8	235506	reference/web/batch-09/raw/822ddc3285c03a72.html	reference/web/batch-09/text/822ddc3285c03a72.md	
188	04-hyperscaler-infrastructure	Cloudflare Discord	官方社区入口	https://discord.cloudflare.com/	failed	302	text/html; charset=UTF-8	0			curl-exit-28    0     0    0     0    0     0      0      0 --:--:--  0:00:01 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:02 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:03 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:04 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:05 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:06 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:07 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:08 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:09 --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:10 --:--:--     0 curl: (28) Failed to connect to discord.gg port 443 after 10004 ms: Timeout was reached 
198	04-hyperscaler-infrastructure	Dropbox文章	官方工程博客文章	https://dropbox.tech/infrastructure/improving-storage-efficiency-in-magic-pocket-our-immutable-blob-store	success	200	text/html;charset=utf-8	54519	reference/web/batch-09/raw/68c4f22d6c9f64e1.html	reference/web/batch-09/text/68c4f22d6c9f64e1.md	
208	04-hyperscaler-infrastructure	Meta备份加固	官方博客文章	https://engineering.fb.com/2026/05/01/security/meta-strengthening-end-to-end-encrypted-backups/	success	200	text/html; charset=UTF-8	93961	reference/web/batch-09/raw/b924be319d4785e4.html	reference/web/batch-09/text/b924be319d4785e4.md	
218	04-hyperscaler-infrastructure	华为云开发者	官方开发者入口	https://developer.huaweicloud.com/	success	200	text/html; charset=utf-8	109846	reference/web/batch-09/raw/dbb9c3bd15c7cbca.html	reference/web/batch-09/text/dbb9c3bd15c7cbca.md	
228	11-linux-maintainer-deep-dive.md	Linux 内核相关维护者关系	开发者/维护者关系（待识别）	https://lore.kernel.org/	success	200	text/html; charset=UTF-8	19232	reference/web/batch-09/raw/b7a5b7867ca46e2a.html	reference/web/batch-09/text/b7a5b7867ca46e2a.md	
238	12-hardware-standards-deep-dive.md	Intel persistent memory developer overview	Intel 开发者入口	https://www.intel.com/content/www/us/en/developer/topic-technology/persistent-memory/	success	200	text/html;charset=utf-8	176224	reference/web/batch-09/raw/1a3e000d4116db01.html	reference/web/batch-09/text/1a3e000d4116db01.md	
248	13-enterprise-product-lines-deep-dive.md	HPE Nimble/Alletra controller failover	架构 PDF	https://www.hpe.com/psnow/doc/	failed	000	0				curl-exit-92    0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0   0     0    0     0    0     0      0      0 --:--:-- --:--:-- --:--:--     0   0     0    0     0    0     0      0      0 --:--:--  0:00:01 --:--:--     0 curl: (92) HTTP/2 stream 1 was not closed cleanly: INTERNAL_ERROR (err 2) 
258	14-hyperscaler-storage-deep-dive.md	Huawei Cloud DSS	产品文档	https://support.huaweicloud.com/intl/en-us/productdesc-dss/	success	200	text/html	1998	reference/web/batch-09/raw/719dde48b7d03bdb.html	reference/web/batch-09/text/719dde48b7d03bdb.md	
268	14-hyperscaler-storage-deep-dive.md	Huawei: distributed file systems	官方工程博客	https://blog.huawei.com/2022/02/15/distributed-file-systems-future/	success	200	text/html	51513	reference/web/batch-09/raw/571c81c15e829dbe.html	reference/web/batch-09/text/571c81c15e829dbe.md	
278	代表开发者 / 维护者 / 研究者（组织员工/PC/博客作者关系分离）	个人主页（研究者）	个人主页	https://www.seltzer.com/margo/	success	200	text/html; charset=utf-8	7907	reference/web/batch-09/raw/2156b5714967bd29.html	reference/web/batch-09/text/2156b5714967bd29.md	
288	会议 / 社区与媒体（按同页群组）	NVM Express 官网	标准组织	https://nvmexpress.org/about/board/	success	200	text/html; charset=UTF-8	81970	reference/web/batch-09/raw/53a25dc95ab18448.html	reference/web/batch-09/text/53a25dc95ab18448.md	
298	会议 / 社区与媒体（按同页群组）	USENIX SREcon 首页	工程实践会议	https://www.usenix.org/conference/srecon26emea	success	200	text/html; charset=utf-8	68378	reference/web/batch-09/raw/f2ae83bafb3b512b.html	reference/web/batch-09/text/f2ae83bafb3b512b.md	
308	开源生态项目 / 组织 / 仓库 / 标准入口（来源首页+深链+事件）	Apache Cassandra 官网	分布式列存储数据库	https://cassandra.apache.org/	success	200	text/html	28546	reference/web/batch-09/raw/1eb942c9dce57155.html	reference/web/batch-09/text/1eb942c9dce57155.md	
